lable_bert,label_lr,text
NAP,ROA_TARA,"Vine paisane, e vine mbuttigliate col sùvero d' argento e l' etichetta, liquori delle frabbiche premiate, curassò, strega, cúmmel e anisetta:"
NAP,LLD,In quella provinzia è zità e chastelle asai;
LIJ,SCN,dumandò u Pinocchiu cun anscêtæ e affannu.
LLD,LMO,"un omeneto da ride, ve digo, outo poco pi de doi forminantes."
NAP,SCN,Grazzie direttó E 'a cattiva nutizzia?
LIJ,LMO,Scappandu daa bucca du Pesciucan e caccianduse a nöu in mâ.
NAP,ROA_TARA,Quali sveglie aggio impostato?
LLD,VEC,Ra 'sente ra se godea a vede i elefantes e via pa ra sera ra craiaa pi de un colpo:
SCN,LMO,Mi suin mariunettu.
LIJ,VEC,"La provinzia la qual ò dito de sopra, da Chasar infina a questa, sono tute della Gran Turchia."
VEC,LLD,E mo' sì ve diremo della provinzia de Persia.
ROA_TARA,SCN,S'òva pagò la bullétte du telìfene e de la lìuce.
NAP,VEC,"Alla sua Patria giammaiei vi rinuncia e nei weekend, la meta sua è costante, a mangiar tanto e bene è da Muciacia così placando lo spirto suo furente."
LMO,VEC,la e senza l'accento è muta come in francese.
NAP,PMS,Verévo già i ppalummella.
VEC,ROA_TARA,"Sente mo, parcé no sin 'sone nafré a strafier?"
LLD,VEC,"Co l é morto, Poulino l é stà seporì in pès, parceche ra pianta ra podesse vive e cresce a r aria."
LLD,VEC,"Schizà r aga da chesta!Pian, pian, scior ponpier."
EML,PMS,"Pu, lutéun lutéun, a s strasnìmi dri al nòsti bàursi sla via Dante."
ROA_TARA,VEC,S'à specciòte la carte iggiéneche!
PMS,EML,Po c'sìm fatt ròss.
ROA_TARA,EML,"U desténe n'à pòuste còndre, n'à prettòte o frònde, n'guèrre, ad accìdene."
NAP,VEC,Ma me ne so' pentuto e addulurato.
LLD,VEC,"Chesta l é na storia vecia, de canche i camele i ea ancora boi de parlà."
VEC,ROA_TARA,et ène oxieli chon molte belle pene e molto ben coloride.
LLD,VEC,I Guardies i s à sfreà ra mas e i à tirà fora de scarsela i librete.
ROA_TARA,NAP,"Salte u paraite, se mètte a re sechìure spòlpe e pigghie u sòunne."
LIJ,LMO,Da chì a 'n pô.
LLD,VEC,"Paron mè l à dito, e l macoaa i zapote de Kum, pardoneme se ei ra testa pa r aria."
LIJ,FUR,Lascime fâ a mie:
LMO,LIJ,L'ho lasciòu trei giurni fa inscia ciazza du mâ.
LIJ,SCN,"Du restu quellu mariunettu li, u nu m'é fixunumia növa:"
LIJ,SCN,A gioia du mariunettu l'é inpuscibile descrivila:
SCN,NAP,"nun ero cchiu crestiano, ero nu straccio."
VEC,LLD,"El capitaa, soralduto, inze piaza Argentina."
LMO,VEC,"La Caterina la diventa la soa ossession, on quaicòss che le tormentava e la ghe impediva de viv."
SCN,VEC,la chovertura è molto altisima.
LLD,VEC,E l desmonta coscì de oga che deboto l sin và col mus inaante.
